date,cumulative_confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,7
2020-03-17,14
2020-03-18,14
2020-03-19,16
2020-03-20,29
2020-03-21,47
2020-03-22,73
2020-03-23,73
2020-03-24,97
2020-03-25,145
2020-03-26,196
2020-03-27,310
2020-03-28,356
2020-03-29,475
2020-03-30,548
2020-03-31,645
2020-04-01,794
2020-04-02,897
2020-04-03,1072
2020-04-04,1225
2020-04-05,1308
2020-04-06,1319
2020-04-07,1462
2020-04-08,1668
2020-04-09,1892
2020-04-10,2203
2020-04-11,2511
2020-04-12,2777
2020-04-13,3102
2020-04-14,3372
2020-04-15,3764
2020-04-16,4161
2020-04-17,4662
2020-04-18,5106
2020-04-19,5449
2020-04-20,5710
2020-04-21,6125
2020-04-22,6592
2020-04-23,7170
2020-04-24,7647
2020-04-25,8125
2020-04-26,8617
2020-04-27,9009
2020-04-28,9410
2020-04-29,9866
2020-04-30,10406
2020-05-01,10861
2020-05-02,11411
2020-05-03,11913
2020-05-04,12331
2020-05-05,12697
2020-05-06,13184
2020-05-07,13691
2020-05-08,14195
2020-05-09,14710
2020-05-10,15232
2020-05-11,15648
2020-05-12,16023
2020-05-13,16425
2020-05-14,16847
2020-05-15,17330
2020-05-16,17858
2020-05-17,18291
2020-05-18,18616
2020-05-19,18876
2020-05-20,19230
2020-05-21,19706
2020-05-22,20148
2020-05-23,20580
2020-05-24,20986
2020-05-25,21245
2020-05-26,21584
2020-05-27,21905
2020-05-28,22382
2020-05-29,22811
2020-05-30,23204
2020-05-31,23672
2020-06-01,24562
2020-06-02,24895
2020-06-03,25385
2020-06-04,25981
2020-06-05,26542
2020-06-06,27101
2020-06-07,27599
2020-06-08,28077
2020-06-09,28479
2020-06-10,29015
2020-06-11,29706
2020-06-12,30415
2020-06-13,31177
2020-06-14,31851
2020-06-15,32536
2020-06-16,33209
2020-06-17,33986
2020-06-18,34833
2020-06-19,35755
2020-06-20,36615
2020-06-21,37361
2020-06-22,38056
2020-06-23,38901
2020-06-24,39852
2020-06-25,40854
2020-06-26,41975
2020-06-27,42932
2020-06-28,43856
2020-06-29,44538
2020-06-30,45254
2020-07-01,45924
2020-07-02,46821
2020-07-03,47705
2020-07-04,48628
2020-07-05,49468
2020-07-06,50053
2020-07-07,50622
2020-07-08,51457
2020-07-09,52285
2020-07-10,53116
2020-07-11,53941
2020-07-12,54647
2020-07-13,55285
2020-07-14,55931
2020-07-15,56779
2020-07-16,57640
2020-07-17,58466
2020-07-18,59333
2020-07-19,60077
2020-07-20,60767
2020-07-21,61454
2020-07-22,62295
2020-07-23,63169
2020-07-24,64173
2020-07-25,65317
2020-07-26,66261
2020-07-27,67096
2020-07-28,68030
2020-07-29,69078
2020-07-30,70300
2020-07-31,71404
2020-08-01,72609
2020-08-02,73761
2020-08-03,74781
2020-08-04,75880
2020-08-05,77169
2020-08-06,78515
2020-08-07,80018
2020-08-08,81534
2020-08-09,82767
2020-08-10,83812
2020-08-11,85023
2020-08-12,86504
2020-08-13,88136
2020-08-14,89917
2020-08-15,91795
2020-08-16,93490
2020-08-17,95007
2020-08-18,96653
2020-08-19,98658
2020-08-20,100810
2020-08-21,102948
2020-08-22,105337
2020-08-23,107379
2020-08-24,109234
2020-08-25,110949
2020-08-26,112653
2020-08-27,114663
2020-08-28,117172
2020-08-29,119751
2020-08-30,121930
2020-08-31,124132
2020-09-01,126279
2020-09-02,128833
2020-09-03,131300
2020-09-04,134069
2020-09-05,136966
2020-09-06,139171
2020-09-07,141424
2020-09-08,143914
2020-09-09,146511
2020-09-10,149146
2020-09-11,152373
2020-09-12,155558
2020-09-13,158122
2020-09-14,160679
2020-09-15,163678
2020-09-16,166694
2020-09-17,170373
2020-09-18,173703
2020-09-19,177048
2020-09-20,180119
2020-09-21,182900
2020-09-22,185890
2020-09-23,189488
2020-09-24,192966
2020-09-25,196631
2020-09-26,200566
2020-09-27,203799
2020-09-28,206579
2020-09-29,210309
2020-09-30,214446
2020-10-01,218625
2020-10-02,223376
2020-10-03,228161
2020-10-04,232424
2020-10-05,236329
2020-10-06,240811
2020-10-07,245698
2020-10-08,251243
2020-10-09,257204
2020-10-10,263105
2020-10-11,268065
2020-10-12,272671
2020-10-13,277982
2020-10-14,283762
2020-10-15,289022
2020-10-16,295227
2020-10-17,301856
2020-10-18,307301
2020-10-19,312287
2020-10-20,317967
2020-10-21,324942
2020-10-22,332262
2020-10-23,340042
2020-10-24,347317
2020-10-25,353723
2020-10-26,359348
2020-10-27,366233
2020-10-28,374023
2020-10-29,381664
2020-10-30,390272
2020-10-31,399330
2020-11-01,407573
2020-11-02,414567
2020-11-03,423683
2020-11-04,433492
2020-11-05,443630
2020-11-06,453565
2020-11-07,464598
2020-11-08,474245
2020-11-09,483153
2020-11-10,493544
2020-11-11,504423
2020-11-12,515755
2020-11-13,527808
2020-11-14,540593
2020-11-15,551533
2020-11-16,561581
2020-11-17,573758
2020-11-18,586522
2020-11-19,600152
2020-11-20,614986
2020-11-21,629850
2020-11-22,642215
2020-11-23,653442
2020-11-24,665968
2020-11-25,680132
2020-11-26,695755
2020-11-27,712249
2020-11-28,728834
2020-11-29,742105
2020-11-30,752343
2020-12-01,765117
2020-12-02,778560
2020-12-03,793372
2020-12-04,808828
2020-12-05,822985
2020-12-06,834913
2020-12-07,843898
2020-12-08,855054
2020-12-09,867991
2020-12-10,881727
2020-12-11,895620
2020-12-12,908839
2020-12-13,918444
2020-12-14,925321
2020-12-15,934161
2020-12-16,945218
2020-12-17,957692
2020-12-18,970758
2020-12-19,982937
2020-12-20,991700
2020-12-21,998678
2020-12-22,1007627
2020-12-23,1018199
2020-12-24,1030125
2020-12-25,1041583
2020-12-26,1049717
2020-12-27,1056265
2020-12-28,1061074
2020-12-29,1068476
2020-12-30,1076880
2020-12-31,1086997
2021-01-01,1096855
2021-01-02,1102256
2021-01-03,1107137
2021-01-04,1111631
2021-01-05,1117256
2021-01-06,1124482
2021-01-07,1133802
2021-01-08,1139800
2021-01-09,1144943
2021-01-10,1150265
2021-01-11,1154850
2021-01-12,1160243
2021-01-13,1166958
2021-01-14,1175343
2021-01-15,1183963
2021-01-16,1192114
2021-01-17,1198512
2021-01-18,1201894
2021-01-19,1206125
2021-01-20,1210854
2021-01-21,1216780
2021-01-22,1222459
2021-01-23,1227723
2021-01-24,1231965
2021-01-25,1234772
2021-01-26,1237810
2021-01-27,1241863
2021-01-28,1247674
2021-01-29,1253127
2021-01-30,1258093
2021-01-31,1261546
2021-02-01,1263833
2021-02-02,1266464
2021-02-03,1270001
2021-02-04,1275334
2021-02-05,1280501
2021-02-06,1285059
2021-02-07,1288669
2021-02-08,1291025
2021-02-09,1293892
2021-02-10,1297537
2021-02-11,1302811
2021-02-12,1307806
2021-02-13,1313209
2021-02-14,1316520
2021-02-15,1319060
2021-02-16,1322406
2021-02-17,1326891
2021-02-18,1333332
2021-02-19,1340054
2021-02-20,1346527
2021-02-21,1351190
2021-02-22,1354545
2021-02-23,1358871
2021-02-24,1364861
2021-02-25,1373139
2021-02-26,1381273
2021-02-27,1389570
2021-02-28,1395528
2021-03-01,1399934
2021-03-02,1405394
2021-03-03,1412748
2021-03-04,1422927
2021-03-05,1433200
2021-03-06,1442457
2021-03-07,1449741
2021-03-08,1455421
2021-03-09,1458785
2021-03-10,1465265
2021-03-11,1474452
2021-03-12,1487497
2021-03-13,1500873
2021-03-14,1509983
2021-03-15,1516865
2021-03-16,1526595
2021-03-17,1538516
2021-03-18,1553659
2021-03-19,1569596
2021-03-20,1584972
2021-03-21,1596201
2021-03-22,1604183
2021-03-23,1615747
2021-03-24,1630013
2021-03-25,1646775
2021-03-26,1665001
2021-03-27,1682527
2021-03-28,1694568
2021-03-29,1703036
2021-03-30,1713684
2021-03-31,1725029
2021-04-01,1742710
2021-04-02,1762713
2021-04-03,1783169
2021-04-04,1797027
2021-04-05,1807327
2021-04-06,1820725
2021-04-07,1836260
2021-04-08,1855806
2021-04-09,1875605
2021-04-10,1893192
2021-04-11,1905430
2021-04-12,1913415
2021-04-13,1925224
2021-04-14,1939901
2021-04-15,1956454
2021-04-16,1974056
2021-04-17,1989160
2021-04-18,1999567
2021-04-19,2006197
2021-04-20,2015257
2021-04-21,2027544
2021-04-22,2043901
2021-04-23,2058301
2021-04-24,2071142
2021-04-25,2079200
2021-04-26,2084384
2021-04-27,2092421
2021-04-28,2102130
2021-04-29,2113880
2021-04-30,2124070
2021-05-01,2132742
2021-05-02,2137959
2021-05-03,2140838
2021-05-04,2143427
2021-05-05,2146121
2021-05-06,2152280
2021-05-07,2160809
2021-05-08,2169650
2021-05-09,2175151
2021-05-10,2178095
2021-05-11,2180429
2021-05-12,2185088
2021-05-13,2192022
2021-05-14,2199708
2021-05-15,2206627
2021-05-16,2210375
2021-05-17,2212635
2021-05-18,2216856
2021-05-19,2222115
2021-05-20,2227400
2021-05-21,2232510
2021-05-22,2237240
2021-05-23,2239897
2021-05-24,2241354
2021-05-25,2244084
2021-05-26,2247605
2021-05-27,2251242
2021-05-28,2254674
2021-05-29,2257904
2021-05-30,2259743
2021-05-31,2260899
2021-06-01,2263167
2021-06-02,2265502
2021-06-03,2268209
2021-06-04,2270602
2021-06-05,2272633
2021-06-06,2273708
2021-06-07,2274375
2021-06-08,2276111
2021-06-09,2277632
2021-06-10,2279556
2021-06-11,2281303
2021-06-12,2282727
2021-06-13,2283746
2021-06-14,2284337
2021-06-15,2285534
2021-06-16,2286767
2021-06-17,2288155
2021-06-18,2289333
2021-06-19,2290412
2021-06-20,2291135
2021-06-21,2291722
2021-06-22,2292295
2021-06-23,2293421
2021-06-24,2294669
2021-06-25,2295873
2021-06-26,2296982
2021-06-27,2297801
2021-06-28,2298478
2021-06-29,2299059
2021-06-30,2300101
2021-07-01,2301221
2021-07-02,2302344
2021-07-03,2303485
2021-07-04,2304311
2021-07-05,2305013
2021-07-06,2306006
2021-07-07,2307068
2021-07-08,2308142
2021-07-09,2309264
2021-07-10,2310246
2021-07-11,2311025
2021-07-12,2311690
2021-07-13,2312662
2021-07-14,2313705
2021-07-15,2314828
2021-07-16,2316081
2021-07-17,2317198
2021-07-18,2318035
2021-07-19,2318752
2021-07-20,2319886
2021-07-21,2321081
2021-07-22,2322340
2021-07-23,2323638
2021-07-24,2324935
2021-07-25,2325776
2021-07-26,2326550
2021-07-27,2327777
2021-07-28,2329044
2021-07-29,2330440
2021-07-30,2331950
2021-07-31,2333409
2021-08-01,2334433
2021-08-02,2335237
2021-08-03,2336603
2021-08-04,2338123
2021-08-05,2339731
2021-08-06,2341399
2021-08-07,2343046
2021-08-08,2344260
2021-08-09,2345166
2021-08-10,2346560
2021-08-11,2348295
2021-08-12,2350163
2021-08-13,2352042
2021-08-14,2354008
2021-08-15,2355317
2021-08-16,2356345
2021-08-17,2357844
2021-08-18,2359893
2021-08-19,2362052
2021-08-20,2364242
2021-08-21,2366560
2021-08-22,2368150
2021-08-23,2369339
2021-08-24,2370604
2021-08-25,2371895
2021-08-26,2374012
2021-08-27,2376571
2021-08-28,2379159
2021-08-29,2381553
2021-08-30,2382769
2021-08-31,2384564
2021-09-01,2387052
2021-09-02,2389923
2021-09-03,2393002
2021-09-04,2395616
2021-09-05,2397758
2021-09-06,2398900
2021-09-07,2401462
2021-09-08,2404585
2021-09-09,2408595
2021-09-10,2412543
2021-09-11,2416739
2021-09-12,2419254
2021-09-13,2420776
2021-09-14,2424416
2021-09-15,2429354
2021-09-16,2435404
2021-09-17,2442344
2021-09-18,2448908
2021-09-19,2453240
2021-09-20,2455873
2021-09-21,2461415
2021-09-22,2468567
2021-09-23,2476848
2021-09-24,2486343
2021-09-25,2495068
2021-09-26,2500198
2021-09-27,2503710
2021-09-28,2510781
2021-09-29,2520986
2021-09-30,2533301
2021-10-01,2545904
2021-10-02,2558300
2021-10-03,2566875
2021-10-04,2572327
2021-10-05,2582818
2021-10-06,2596134
2021-10-07,2611928
2021-10-08,2628975
2021-10-09,2645597
2021-10-10,2657699
2021-10-11,2667304
2021-10-12,2680076
2021-10-13,2697176
2021-10-14,2716867
2021-10-15,2731325
2021-10-16,2745165
2021-10-17,2757328
2021-10-18,2767743
2021-10-19,2784227
2021-10-20,2804050
2021-10-21,2827388
2021-10-22,2852109
2021-10-23,2876288
2021-10-24,2898049
2021-10-25,2913666
2021-10-26,2933778
2021-10-27,2957359
2021-10-28,2984456
2021-10-29,3012370
2021-10-30,3039616
2021-10-31,3058108
2021-11-01,3073125
2021-11-02,3093661
2021-11-03,3118140
2021-11-04,3146617
2021-11-05,3174223
2021-11-06,3200411
2021-11-07,3218967
2021-11-08,3233178
2021-11-09,3253327
2021-11-10,3277772
2021-11-11,3303694
2021-11-12,3328934
2021-11-13,3353694
2021-11-14,3369387
2021-11-15,3381399
2021-11-16,3398913
2021-11-17,3418792
2021-11-18,3440602
2021-11-19,3461873
2021-11-20,3481347
2021-11-21,3493203
2021-11-22,3501815
2021-11-23,3515641
2021-11-24,3530969
2021-11-25,3548842
2021-11-26,3565644
2021-11-27,3580671
2021-11-28,3588916
2021-11-29,3595410
2021-11-30,3606622
2021-12-01,3619223
2021-12-02,3633386
2021-12-03,3647777
2021-12-04,3661583
2021-12-05,3668794
2021-12-06,3673839
2021-12-07,3683044
2021-12-08,3692939
2021-12-09,3705823
2021-12-10,3717640
2021-12-11,3728246
2021-12-12,3733967
2021-12-13,3738390
2021-12-14,3746106
2021-12-15,3754567
2021-12-16,3764485
2021-12-17,3773700
2021-12-18,3781506
2021-12-19,3785395
2021-12-20,3788209
2021-12-21,3794490
2021-12-22,3801079
2021-12-23,3808612
2021-12-24,3815440
2021-12-25,3820891
2021-12-26,3823879
2021-12-27,3825917
2021-12-28,3828336
2021-12-29,3833952
2021-12-30,3840041
2021-12-31,3847226
2022-01-01,3852397
2022-01-02,3854405
2022-01-03,3856359
2022-01-04,3858248
2022-01-05,3862959
2022-01-06,3869728
2022-01-07,3877032
2022-01-08,3880371
2022-01-09,3883316
2022-01-10,3885416
2022-01-11,3890974
2022-01-12,3898240
2022-01-13,3908469
2022-01-14,3919151
2022-01-15,3929950
2022-01-16,3936582
2022-01-17,3941923
2022-01-18,3950774
2022-01-19,3963917
2022-01-20,3982738
2022-01-21,4003280
2022-01-22,4026198
2022-01-23,4042152
2022-01-24,4055643
2022-01-25,4075351
2022-01-26,4100292
2022-01-27,4133396
2022-01-28,4168560
2022-01-29,4206731
2022-01-30,4232143
2022-01-31,4255206
2022-02-01,4287117
2022-02-02,4323009
2022-02-03,4363754
2022-02-04,4408776
2022-02-05,4452612
2022-02-06,4481918
2022-02-07,4506669
2022-02-08,4542568
2022-02-09,4582137
2022-02-10,4625614
2022-02-11,4668581
2022-02-12,4708604
2022-02-13,4735258
2022-02-14,4753922
2022-02-15,4785138
2022-02-16,4818112
2022-02-17,4853339
2022-02-18,4890332
2022-02-19,4923680
2022-02-20,4943428
2022-02-21,4959461
2022-02-22,4986161
2022-02-23,5012980
2022-02-24,5040518
2022-02-25,5052182
2022-02-26,5057946
2022-02-27,5062889
2022-02-28,5066370
2022-03-01,5073037
2022-03-02,5079916
2022-03-03,5086452
2022-03-04,5093353
2022-03-05,5099723
2022-03-06,5103154
2022-03-07,5105901
2022-03-08,5110233
2022-03-09,5113255
2022-03-10,5119367
2022-03-11,5125225
2022-03-12,5131059
2022-03-13,5135046
2022-03-14,5137302
2022-03-15,5143422
2022-03-16,5148651
2022-03-17,5153795
2022-03-18,5158926
2022-03-19,5163689
2022-03-20,5165928
2022-03-21,5167659
2022-03-22,5172101
2022-03-23,5176322
2022-03-24,5180177
2022-03-25,5183807
2022-03-26,5187213
2022-03-27,5188740
2022-03-28,5189976
2022-03-29,5192611
2022-03-30,5195136
2022-03-31,5197694
2022-04-01,5199775
2022-04-02,5202690
2022-04-03,5203875
2022-04-04,5204632
2022-04-05,5206731
2022-04-06,5208892
2022-04-07,5211118
2022-04-08,5213143
2022-04-09,5215360
2022-04-10,5215627
2022-04-11,5216044
2022-04-12,5218179
2022-04-13,5219784
2022-04-14,5221359
2022-04-15,5222493
2022-04-16,5223367
2022-04-17,5223754
2022-04-18,5224058
2022-04-19,5225140
2022-04-20,5226284
2022-04-21,5227305
2022-04-22,5228118
2022-04-23,5228886
2022-04-24,5229187
2022-04-25,5229411
2022-04-26,5230066
2022-04-27,5230878
2022-04-28,5231933
2022-04-29,5232613
2022-04-30,5233265
2022-05-01,5233564
2022-05-02,5233764
2022-05-03,5233764
2022-05-04,5233764
2022-05-05,5233764
2022-05-06,5233764
2022-05-07,5233764
2022-05-08,5233764
2022-05-09,5237354
2022-05-10,5237354
2022-05-11,5237354
2022-05-12,5237354
2022-05-13,5237354
2022-05-14,5237354
2022-05-15,5237354
2022-05-16,5240195
2022-05-17,5240195
2022-05-18,5240195
2022-05-19,5240195
2022-05-20,5240195
2022-05-21,5240195
2022-05-22,5240195
2022-05-23,5242327
2022-05-24,5242327
2022-05-25,5242327
2022-05-26,5242327
2022-05-27,5242327
2022-05-28,5242327
2022-05-29,5242327
2022-05-30,5244223
2022-05-31,5244223
2022-06-01,5244223
2022-06-02,5244223
2022-06-03,5244223
2022-06-04,5244223
2022-06-05,5244223
2022-06-06,5245823
2022-06-07,5245823
2022-06-08,5245823
2022-06-09,5245823
2022-06-10,5245823
2022-06-11,5245823
2022-06-12,5245823
2022-06-13,5284337
2022-06-14,5284385
2022-06-15,5284420
2022-06-16,5284484
2022-06-17,5284534
2022-06-18,5284597
2022-06-19,5284629
2022-06-20,5285704
2022-06-21,5285730
2022-06-22,5285764
2022-06-23,5285796
2022-06-24,5285836
2022-06-25,5285871
2022-06-26,5285909
2022-06-27,5286931
2022-06-28,5286959
2022-06-29,5286989
2022-06-30,5287020
2022-07-01,5287065
2022-07-02,5287095
2022-07-03,5287122
2022-07-04,5288270
2022-07-05,5288294
2022-07-06,5288322
2022-07-07,5288357
2022-07-08,5288404
2022-07-09,5288439
2022-07-10,5288473
2022-07-11,5288509
2022-07-12,5288545
2022-07-13,5288579
2022-07-14,5288620
2022-07-15,5289732
2022-07-16,5289787
2022-07-17,5289844
2022-07-18,5289923
2022-07-19,5289986
2022-07-20,5290040
2022-07-21,5290117
2022-07-22,5291621
2022-07-23,5291700
2022-07-24,5291779
2022-07-25,5291868
2022-07-26,5291947
2022-07-27,5292020
2022-07-28,5292128
2022-07-29,5294357
2022-07-30,5294486
2022-07-31,5294643
2022-08-01,5294794
2022-08-02,5294949
2022-08-03,5295103
2022-08-04,5295299
2022-08-05,5298325
2022-08-06,5298604
2022-08-07,5298881
2022-08-08,5299165
2022-08-09,5299442
2022-08-10,5299664
2022-08-11,5303833
2022-08-12,5304149
2022-08-13,5304634
2022-08-14,5305063
2022-08-15,5305455
2022-08-16,5305875
2022-08-17,5306219
2022-08-18,5306713
2022-08-19,5312730
2022-08-20,5313322
2022-08-21,5313939
2022-08-22,5314531
2022-08-23,5315071
2022-08-24,5315613
2022-08-25,5325288
2022-08-26,5325948
2022-08-27,5326639
2022-08-28,5327363
2022-08-29,5328138
2022-08-30,5328726
2022-08-31,5329263
2022-09-01,5341445
2022-09-02,5342118
2022-09-03,5342895
2022-09-04,5343674
2022-09-05,5344324
2022-09-06,5360956
2022-09-07,5361560
2022-09-08,5362294
2022-09-09,5362980
2022-09-10,5363758
2022-09-11,5364432
2022-09-12,5365009
2022-09-13,5365512
2022-09-14,5366011
2022-09-15,5390574
2022-09-16,5391216
2022-09-17,5391762
2022-09-18,5392365
2022-09-19,5392816
2022-09-20,5393218
2022-09-21,5393630
2022-09-22,5394128
2022-09-23,5431208
2022-09-24,5431736
2022-09-25,5432271
2022-09-26,5432591
2022-09-27,5432840
2022-09-28,5433127
2022-09-29,5477614
2022-09-30,5478025
2022-10-01,5478336
2022-10-02,5478645
2022-10-03,5478864
2022-10-04,5479048
2022-10-05,5479206
2022-10-06,5479387
2022-10-07,5479598
2022-10-08,5479793
2022-10-09,5479938
2022-10-10,5480098
2022-10-11,5480251
2022-10-12,5480392
2022-10-13,5480495
2022-10-14,5480652
2022-10-15,5480779
2022-10-16,5480863
2022-10-17,5560188
2022-10-18,5583170
2022-10-19,5583231
2022-10-20,5583316
2022-10-21,5583411
2022-10-22,5583518
2022-10-23,5583603
2022-10-24,5583709
2022-10-25,5600684
2022-10-26,5600741
2022-10-27,5600801
2022-10-28,5600890
2022-10-29,5600960
2022-10-30,5601042
2022-10-31,5601102
2022-11-01,5601163
2022-11-02,5601211
2022-11-03,5617643
2022-11-04,5617701
2022-11-05,5617767
2022-11-06,5617810
2022-11-07,5617842
2022-11-08,5617870
2022-11-09,5617906
2022-11-10,5617950
2022-11-11,5618015
2022-11-12,5618081
2022-11-13,5618142
2022-11-14,5627788
2022-11-15,5627819
2022-11-16,5635182
2022-11-17,5635218
2022-11-18,5635276
2022-11-19,5635334
2022-11-20,5635398
2022-11-21,5635439
2022-11-22,5635487
2022-11-23,5642284
2022-11-24,5642326
2022-11-25,5642382
2022-11-26,5642444
2022-11-27,5642496
2022-11-28,5642564
2022-11-29,5642600
2022-11-30,5642645
2022-12-01,5642692
2022-12-02,5647735
2022-12-03,5647790
2022-12-04,5647838
2022-12-05,5647889
2022-12-06,5647945
2022-12-07,5647980
2022-12-08,5652840
2022-12-09,5652911
2022-12-10,5652954
2022-12-11,5653011
2022-12-12,5653051
2022-12-13,5653110
2022-12-14,5657443
2022-12-15,5657504
2022-12-16,5657579
2022-12-17,5657646
2022-12-18,5657698
2022-12-19,5657749
2022-12-20,5657804
2022-12-21,5657843
2022-12-22,5657885
2022-12-23,5662295
2022-12-24,5662359
2022-12-25,5662404
2022-12-26,5662458
2022-12-27,5662512
2022-12-28,5662575
2022-12-29,5662612
2022-12-30,5662674
2022-12-31,5662732
2023-01-01,5662774
2023-01-02,5662807
2023-01-03,5666050
2023-01-04,5666079
2023-01-05,5666112
2023-01-06,5669533
2023-01-07,5669552
2023-01-08,5669589
2023-01-09,5669618
2023-01-10,5669640
2023-01-11,5669659
2023-01-12,5669702
2023-01-13,5672711
2023-01-14,5672771
2023-01-15,5672824
2023-01-16,5672860
2023-01-17,5672912
2023-01-18,5672948
2023-01-19,5672999
2023-01-20,5675756
2023-01-21,5675823
2023-01-22,5675861
2023-01-23,5675900
2023-01-24,5675938
2023-01-25,5675976
2023-01-26,5676022
2023-01-27,5676074
2023-01-28,5679221
2023-01-29,5679279
2023-01-30,5679320
2023-01-31,5679371
2023-02-01,5682386
2023-02-02,5682445
2023-02-03,5682496
2023-02-04,5682577
2023-02-05,5682632
2023-02-06,5682693
2023-02-07,5682773
2023-02-08,5682835
2023-02-09,5686636
2023-02-10,5686735
2023-02-11,5686871
2023-02-12,5686987
2023-02-13,5687053
2023-02-14,5687118
2023-02-15,5692468
2023-02-16,5692544
2023-02-17,5692665
2023-02-18,5692846
2023-02-19,5693003
2023-02-20,5693110
2023-02-21,5693215
2023-02-22,5693260
2023-02-23,5693342
2023-02-24,5693474
2023-02-25,5693596
2023-02-26,5693650
2023-02-27,5693753
2023-02-28,5693846
2023-03-01,5701249
2023-03-02,5701333
2023-03-03,5701474
2023-03-04,5701602
2023-03-05,5701743
2023-03-06,5701855
2023-03-07,5701959
2023-03-08,5711818
2023-03-09,5711929
