date,rate_uah_per_usd
2014-01-01,7.993
2014-01-02,7.993
2014-01-03,7.993
2014-01-04,7.993
2014-01-05,7.993
2014-01-06,7.993
2014-01-07,7.993
2014-01-08,7.993
2014-01-09,7.993
2014-01-10,7.993
2014-01-11,7.993
2014-01-12,7.993
2014-01-13,7.993
2014-01-14,7.993
2014-01-15,7.993
2014-01-16,7.993
2014-01-17,7.993
2014-01-18,7.993
2014-01-19,7.993
2014-01-20,7.993
2014-01-21,7.993
2014-01-22,7.993
2014-01-23,7.993
2014-01-24,7.993
2014-01-25,7.993
2014-01-26,7.993
2014-01-27,7.993
2014-01-28,7.993
2014-01-29,7.993
2014-01-30,7.993
2014-01-31,7.993
2014-02-01,7.993
2014-02-02,7.993
2014-02-03,7.993
2014-02-04,7.993
2014-02-05,7.993
2014-02-06,7.993
2014-02-07,8.708
2014-02-08,8.708
2014-02-09,8.708
2014-02-10,8.5282
2014-02-11,8.5532
2014-02-12,8.5507
2014-02-13,8.5507
2014-02-14,8.6309
2014-02-15,8.6309
2014-02-16,8.6309
2014-02-17,8.6405
2014-02-18,8.6458
2014-02-19,8.6869
2014-02-20,8.7852
2014-02-21,8.838
2014-02-22,8.838
2014-02-23,8.838
2014-02-24,8.938
2014-02-25,9.0377
2014-02-26,9.4269
2014-02-27,9.5179
2014-02-28,9.9863
2014-03-01,9.9863
2014-03-02,9.9863
2014-03-03,9.6994
2014-03-04,9.9924
2014-03-05,9.7241
2014-03-06,9.4489
2014-03-07,9.3879
2014-03-08,9.3879
2014-03-09,9.3879
2014-03-10,9.3879
2014-03-11,9.2359
2014-03-12,9.2975
2014-03-13,9.2823
2014-03-14,9.4759
2014-03-15,9.4759
2014-03-16,9.4759
2014-03-17,9.6007
2014-03-18,9.7568
2014-03-19,9.9598
2014-03-20,9.9178
2014-03-21,10.1092
2014-03-22,10.1092
2014-03-23,10.1092
2014-03-24,10.1965
2014-03-25,10.3762
2014-03-26,10.5758
2014-03-27,10.6721
2014-03-28,10.8502
2014-03-29,10.8502
2014-03-30,10.8502
2014-03-31,10.9546
2014-04-01,10.9981
2014-04-02,11.1062
2014-04-03,11.2416
2014-04-04,11.601102
2014-04-05,11.601102
2014-04-06,11.601102
2014-04-07,11.650969
2014-04-08,11.728167
2014-04-09,11.878416
2014-04-10,12.617898
2014-04-11,12.569123
2014-04-12,12.569123
2014-04-13,12.569123
2014-04-14,12.97709
2014-04-15,12.385561
2014-04-16,11.39611
2014-04-17,11.252078
2014-04-18,11.227373
2014-04-19,11.227373
2014-04-20,11.227373
2014-04-21,11.227373
2014-04-22,11.247453
2014-04-23,11.51285
2014-04-24,11.384637
2014-04-25,11.383201
2014-04-26,11.383201
2014-04-27,11.383201
2014-04-28,11.357246
2014-04-29,11.408089
2014-04-30,11.401581
2014-05-01,11.401581
2014-05-02,11.401581
2014-05-03,11.401581
2014-05-04,11.401581
2014-05-05,11.4
2014-05-06,11.469576
2014-05-07,11.651347
2014-05-08,11.593833
2014-05-09,11.593833
2014-05-10,11.593833
2014-05-11,11.593833
2014-05-12,11.605445
2014-05-13,11.646656
2014-05-14,11.764521
2014-05-15,11.662983
2014-05-16,11.755194
2014-05-17,11.755194
2014-05-18,11.755194
2014-05-19,11.752057
2014-05-20,11.716147
2014-05-21,11.72321
2014-05-22,11.73046
2014-05-23,11.715143
2014-05-24,11.715143
2014-05-25,11.715143
2014-05-26,11.660821
2014-05-27,11.751152
2014-05-28,11.70977
2014-05-29,11.765592
2014-05-30,11.774997
2014-05-31,11.774997
2014-06-01,11.774997
2014-06-02,11.877564
2014-06-03,11.833307
2014-06-04,11.870105
2014-06-05,11.76026
2014-06-06,11.825829
2014-06-07,11.825829
2014-06-08,11.825829
2014-06-09,11.825829
2014-06-10,11.803521
2014-06-11,11.631239
2014-06-12,11.654663
2014-06-13,11.728837
2014-06-14,11.728837
2014-06-15,11.728837
2014-06-16,11.748094
2014-06-17,11.760444
2014-06-18,11.827596
2014-06-19,11.849877
2014-06-20,11.854613
2014-06-21,11.854613
2014-06-22,11.854613
2014-06-23,11.878272
2014-06-24,11.892063
2014-06-25,11.881919
2014-06-26,11.894782
2014-06-27,11.823346
2014-06-28,11.823346
2014-06-29,11.823346
2014-06-30,11.823346
2014-07-01,11.785498
2014-07-02,11.833402
2014-07-03,11.841109
2014-07-04,11.827096
2014-07-05,11.827096
2014-07-06,11.827096
2014-07-07,11.784505
2014-07-08,11.712292
2014-07-09,11.65813
2014-07-10,11.695741
2014-07-11,11.693814
2014-07-12,11.693814
2014-07-13,11.693814
2014-07-14,11.696248
2014-07-15,11.707174
2014-07-16,11.718072
2014-07-17,11.719709
2014-07-18,11.649106
2014-07-19,11.649106
2014-07-20,11.649106
2014-07-21,11.655592
2014-07-22,11.670029
2014-07-23,11.644375
2014-07-24,11.682867
2014-07-25,11.752797
2014-07-26,11.752797
2014-07-27,11.752797
2014-07-28,11.858383
2014-07-29,11.987694
2014-07-30,12.003188
2014-07-31,12.097248
2014-08-01,11.96328
2014-08-02,11.96328
2014-08-03,11.96328
2014-08-04,12.183059
2014-08-05,12.297591
2014-08-06,12.354879
2014-08-07,12.458546
2014-08-08,12.606756
2014-08-09,12.606756
2014-08-10,12.606756
2014-08-11,12.825978
2014-08-12,13.139331
2014-08-13,13.110661
2014-08-14,13.091686
2014-08-15,13.135491
2014-08-16,13.135491
2014-08-17,13.135491
2014-08-18,13.073311
2014-08-19,12.952576
2014-08-20,13.223077
2014-08-21,13.11279
2014-08-22,13.365434
2014-08-23,13.365434
2014-08-24,13.365434
2014-08-25,13.365434
2014-08-26,13.659408
2014-08-27,13.890974
2014-08-28,13.437484
2014-08-29,13.605777
2014-08-30,13.605777
2014-08-31,13.605777
2014-09-01,13.114112
2014-09-02,13.008652
2014-09-03,12.531031
2014-09-04,12.528758
2014-09-05,12.8222
2014-09-06,12.8222
2014-09-07,12.8222
2014-09-08,12.822103
2014-09-09,12.926071
2014-09-10,12.951794
2014-09-11,12.976598
2014-09-12,12.950082
2014-09-13,12.950082
2014-09-14,12.950082
2014-09-15,12.903103
2014-09-16,12.98817
2014-09-17,13.082315
2014-09-18,13.425024
2014-09-19,13.434133
2014-09-20,13.434133
2014-09-21,13.434133
2014-09-22,13.489709
2014-09-23,13.526129
2014-09-24,12.944226
2014-09-25,12.950572
2014-09-26,12.908793
2014-09-27,12.908793
2014-09-28,12.908793
2014-09-29,12.908176
2014-09-30,12.949185
2014-10-01,12.955218
2014-10-02,12.950006
2014-10-03,12.940496
2014-10-04,12.940496
2014-10-05,12.940496
2014-10-06,12.949049
2014-10-07,12.966295
2014-10-08,12.950205
2014-10-09,12.930817
2014-10-10,12.950023
2014-10-11,12.950023
2014-10-12,12.950023
2014-10-13,12.952882
2014-10-14,12.951459
2014-10-15,12.952038
2014-10-16,12.951445
2014-10-17,12.95122
2014-10-18,12.95122
2014-10-19,12.95122
2014-10-20,12.951166
2014-10-21,12.950582
2014-10-22,12.950077
2014-10-23,12.950488
2014-10-24,12.950353
2014-10-25,12.950353
2014-10-26,12.950353
2014-10-27,12.95044
2014-10-28,12.950945
2014-10-29,12.952482
2014-10-30,12.952788
2014-10-31,12.950684
2014-11-01,12.950684
2014-11-02,12.950684
2014-11-03,12.950746
2014-11-04,12.953953
2014-11-05,13.497012
2014-11-06,13.955672
2014-11-07,14.47066
2014-11-08,14.47066
2014-11-09,14.47066
2014-11-10,14.804225
2014-11-11,15.771363
2014-11-12,15.749624
2014-11-13,15.56
2014-11-14,15.412417
2014-11-15,15.412417
2014-11-16,15.412417
2014-11-17,15.335614
2014-11-18,15.26018
2014-11-19,15.20011
2014-11-20,15.146067
2014-11-21,15.09624
2014-11-22,15.09624
2014-11-23,15.09624
2014-11-24,15.060794
2014-11-25,15.007932
2014-11-26,14.973062
2014-11-27,14.966885
2014-11-28,14.969269
2014-11-29,14.969269
2014-11-30,14.969269
2014-12-01,15.056413
2014-12-02,15.106043
2014-12-03,15.185623
2014-12-04,15.296657
2014-12-05,15.415499
2014-12-06,15.415499
2014-12-07,15.415499
2014-12-08,15.52571
2014-12-09,15.577517
2014-12-10,15.646999
2014-12-11,15.672305
2014-12-12,15.710701
2014-12-13,15.710701
2014-12-14,15.710701
2014-12-15,15.760382
2014-12-16,15.773905
2014-12-17,15.778907
2014-12-18,15.768497
2014-12-19,15.76937
2014-12-20,15.76937
2014-12-21,15.76937
2014-12-22,15.854396
2014-12-23,15.661713
2014-12-24,15.770241
2014-12-25,15.77087
2014-12-26,15.768865
2014-12-27,15.768865
2014-12-28,15.768865
2014-12-29,15.768556
2014-12-30,15.768556
2014-12-31,15.768556
2015-01-01,15.768556
2015-01-02,15.768556
2015-01-03,15.768556
2015-01-04,15.768556
2015-01-05,15.768556
2015-01-06,15.779566
2015-01-07,15.779566
2015-01-08,15.755631
2015-01-09,15.749587
2015-01-10,15.749587
2015-01-11,15.749587
2015-01-12,15.757965
2015-01-13,15.767906
2015-01-14,15.77124
2015-01-15,15.776095
2015-01-16,15.797967
2015-01-17,15.87643
2015-01-18,15.87643
2015-01-19,15.807737
2015-01-20,15.772208
2015-01-21,15.784755
2015-01-22,15.767642
2015-01-23,15.79205
2015-01-24,15.79205
2015-01-25,15.79205
2015-01-26,15.810005
2015-01-27,15.899591
2015-01-28,15.869445
2015-01-29,15.954336
2015-01-30,16.157817
2015-01-31,16.157817
2015-02-01,16.157817
2015-02-02,16.146996
2015-02-03,16.241449
2015-02-04,16.728929
2015-02-05,17.999763
2015-02-06,23.13058
2015-02-07,23.13058
2015-02-08,23.13058
2015-02-09,24.956198
2015-02-10,24.840495
2015-02-11,25.558067
2015-02-12,25.099142
2015-02-13,25.918523
2015-02-14,25.918523
2015-02-15,25.918523
2015-02-16,26.049893
2015-02-17,26.358713
2015-02-18,26.799674
2015-02-19,27.357992
2015-02-20,27.858494
2015-02-21,27.858494
2015-02-22,27.858494
2015-02-23,28.348066
2015-02-24,28.291218
2015-02-25,28.046032
2015-02-26,30.010175
2015-02-27,27.76312
2015-02-28,27.76312
2015-03-01,27.76312
2015-03-02,26.858114
2015-03-03,24.820658
2015-03-04,23.771263
2015-03-05,23.090564
2015-03-06,22.897045
2015-03-07,22.897045
2015-03-08,22.897045
2015-03-09,22.897045
2015-03-10,21.73571
2015-03-11,21.552936
2015-03-12,21.553929
2015-03-13,21.616059
2015-03-14,21.616059
2015-03-15,21.616059
2015-03-16,21.770381
2015-03-17,22.246866
2015-03-18,23.296787
2015-03-19,23.394039
2015-03-20,23.190613
2015-03-21,23.190613
2015-03-22,23.190613
2015-03-23,23.149873
2015-03-24,23.287844
2015-03-25,23.557021
2015-03-26,23.500799
2015-03-27,23.513024
2015-03-28,23.513024
2015-03-29,23.513024
2015-03-30,23.442625
2015-03-31,23.442625
2015-04-01,23.451383
2015-04-02,23.481944
2015-04-03,23.509492
2015-04-04,23.509492
2015-04-05,23.509492
2015-04-06,23.304799
2015-04-07,23.447515
2015-04-08,23.506033
2015-04-09,23.510335
2015-04-10,23.435369
2015-04-11,23.435369
2015-04-12,23.435369
2015-04-13,23.435369
2015-04-14,22.882033
2015-04-15,22.926551
2015-04-16,21.783027
2015-04-17,21.445856
2015-04-18,21.445856
2015-04-19,21.445856
2015-04-20,21.057654
2015-04-21,22.254387
2015-04-22,22.276179
2015-04-23,22.542193
2015-04-24,22.531063
2015-04-25,22.531063
2015-04-26,22.531063
2015-04-27,22.45163
2015-04-28,22.898565
2015-04-29,22.262406
2015-04-30,21.046832
2015-05-01,21.046832
2015-05-02,21.046832
2015-05-03,21.046832
2015-05-04,21.046832
2015-05-05,21.132395
2015-05-06,21.133059
2015-05-07,21.025503
2015-05-08,20.72246
2015-05-09,20.72246
2015-05-10,20.72246
2015-05-11,20.72246
2015-05-12,20.589862
2015-05-13,20.63756
2015-05-14,20.570787
2015-05-15,20.569333
2015-05-16,20.569333
2015-05-17,20.569333
2015-05-18,20.698242
2015-05-19,22.118662
2015-05-20,21.25258
2015-05-21,20.812662
2015-05-22,20.678827
2015-05-23,20.678827
2015-05-24,20.678827
2015-05-25,20.836853
2015-05-26,21.133675
2015-05-27,21.423472
2015-05-28,21.041285
2015-05-29,21.048227
2015-05-30,21.048227
2015-05-31,21.048227
2015-06-01,21.048227
2015-06-02,21.084888
2015-06-03,21.070818
2015-06-04,21.005961
2015-06-05,21.013713
2015-06-06,21.013713
2015-06-07,21.013713
2015-06-08,21.025806
2015-06-09,21.102444
2015-06-10,21.169299
2015-06-11,21.15333
2015-06-12,21.027495
2015-06-13,21.027495
2015-06-14,21.027495
2015-06-15,21.058829
2015-06-16,21.44881
2015-06-17,22.147739
2015-06-18,21.650235
2015-06-19,21.329154
2015-06-20,21.329154
2015-06-21,21.329154
2015-06-22,21.635428
2015-06-23,21.7687
2015-06-24,21.52572
2015-06-25,21.17802
2015-06-26,21.196069
2015-06-27,21.196069
2015-06-28,21.196069
2015-06-29,21.196069
2015-06-30,21.015358
2015-07-01,21.005219
2015-07-02,21.006373
2015-07-03,21.011609
2015-07-04,21.011609
2015-07-05,21.011609
2015-07-06,21.018248
2015-07-07,21.265897
2015-07-08,21.700382
2015-07-09,21.971761
2015-07-10,21.848173
2015-07-11,21.848173
2015-07-12,21.848173
2015-07-13,21.916483
2015-07-14,21.963753
2015-07-15,21.995345
2015-07-16,22.107282
2015-07-17,21.986687
2015-07-18,21.986687
2015-07-19,21.986687
2015-07-20,22.014924
2015-07-21,22.032134
2015-07-22,22.021461
2015-07-23,22.012094
2015-07-24,22.015695
2015-07-25,22.015695
2015-07-26,22.015695
2015-07-27,22.07352
2015-07-28,22.062278
2015-07-29,22.039591
2015-07-30,22.073558
2015-07-31,21.611775
2015-08-01,21.611775
2015-08-02,21.611775
2015-08-03,21.126666
2015-08-04,21.717484
2015-08-05,21.714134
2015-08-06,21.565865
2015-08-07,21.484096
2015-08-08,21.484096
2015-08-09,21.484096
2015-08-10,21.089882
2015-08-11,21.262951
2015-08-12,21.37155
2015-08-13,21.385392
2015-08-14,21.396247
2015-08-15,21.396247
2015-08-16,21.396247
2015-08-17,21.757665
2015-08-18,22.018809
2015-08-19,22.087367
2015-08-20,22.066173
2015-08-21,22.030769
2015-08-22,22.030769
2015-08-23,22.030769
2015-08-24,22.030769
2015-08-25,22.095544
2015-08-26,22.623411
2015-08-27,21.425702
2015-08-28,21.317065
2015-08-29,21.317065
2015-08-30,21.317065
2015-08-31,21.185441
2015-09-01,21.805419
2015-09-02,21.798518
2015-09-03,21.988664
2015-09-04,22.015573
2015-09-05,22.015573
2015-09-06,22.015573
2015-09-07,21.942791
2015-09-08,22.117574
2015-09-09,22.416926
2015-09-10,21.968932
2015-09-11,21.739039
2015-09-12,21.739039
2015-09-13,21.739039
2015-09-14,21.698655
2015-09-15,21.952695
2015-09-16,21.998165
2015-09-17,21.822599
2015-09-18,21.598093
2015-09-19,21.598093
2015-09-20,21.598093
2015-09-21,21.639391
2015-09-22,21.855146
2015-09-23,21.738564
2015-09-24,21.575129
2015-09-25,21.464469
2015-09-26,21.464469
2015-09-27,21.464469
2015-09-28,21.615991
2015-09-29,21.588351
2015-09-30,21.527544
2015-10-01,21.295636
2015-10-02,21.153307
2015-10-03,21.153307
2015-10-04,21.153307
2015-10-05,21.147443
2015-10-06,21.21564
2015-10-07,21.264049
2015-10-08,21.270167
2015-10-09,21.299291
2015-10-10,21.299291
2015-10-11,21.299291
2015-10-12,21.496208
2015-10-13,21.817734
2015-10-14,21.817734
2015-10-15,21.932784
2015-10-16,21.690618
2015-10-17,21.690618
2015-10-18,21.690618
2015-10-19,21.297699
2015-10-20,21.617536
2015-10-21,21.988927
2015-10-22,22.609278
2015-10-23,22.280585
2015-10-24,22.280585
2015-10-25,22.280585
2015-10-26,22.574677
2015-10-27,22.905896
2015-10-28,22.863258
2015-10-29,22.886491
2015-10-30,22.903985
2015-10-31,22.903985
2015-11-01,22.903985
2015-11-02,22.993727
2015-11-03,23.015217
2015-11-04,23.01941
2015-11-05,23.081425
2015-11-06,22.925534
2015-11-07,22.925534
2015-11-08,22.925534
2015-11-09,22.648966
2015-11-10,22.754934
2015-11-11,22.761335
2015-11-12,22.756907
2015-11-13,22.91723
2015-11-14,22.91723
2015-11-15,22.91723
2015-11-16,23.059785
2015-11-17,23.207025
2015-11-18,23.771078
2015-11-19,23.913585
2015-11-20,23.839146
2015-11-21,23.839146
2015-11-22,23.839146
2015-11-23,23.984576
2015-11-24,24.063619
2015-11-25,23.949241
2015-11-26,23.771646
2015-11-27,23.597302
2015-11-28,23.597302
2015-11-29,23.597302
2015-11-30,23.884656
2015-12-01,23.948086
2015-12-02,23.841563
2015-12-03,23.6477
2015-12-04,23.088807
2015-12-05,23.088807
2015-12-06,23.088807
2015-12-07,23.648624
2015-12-08,23.450698
2015-12-09,22.913187
2015-12-10,22.894918
2015-12-11,23.368319
2015-12-12,23.368319
2015-12-13,23.368319
2015-12-14,23.860094
2015-12-15,23.81162
2015-12-16,23.451305
2015-12-17,23.519276
2015-12-18,23.487675
2015-12-19,23.487675
2015-12-20,23.487675
2015-12-21,23.546414
2015-12-22,23.518152
2015-12-23,23.146841
2015-12-24,22.997289
2015-12-25,22.964482
2015-12-26,22.964482
2015-12-27,22.964482
2015-12-28,23.137486
2015-12-29,23.807482
2015-12-30,23.790721
2015-12-31,24.000667
